,segmentId,frc,speedLimit,streetName,distance,timeSet,dateRange,probeCount
26296,13600003050639,2,80,Jalan Gunung Sahari,13.99,2,1,393
26297,13600001570990,3,50,Jalan Utan Panjang Timur,64.61,2,1,19398
26298,13600002105941,2,50,Jalan Kyai Haji Hasyim Ashari,48.7,2,1,12694
26299,13600001265047,5,50,Jalan Howitzer,76.73,2,1,3554
26300,13600001777303,5,50,Jalan Sumur Batu,115.85,2,1,1284
26301,13600003084220,5,50,Jalan Serdang,14.31,2,1,1197
26302,13600001310921,5,50,Jalan Serdang,75.22,2,1,973
26303,13600001091801,3,50,Jalan Cideng Timur,132.96,2,1,14563
26304,13600001096546,3,50,Jalan Cideng Barat,137.75,2,1,16549
26305,13600001128994,4,50,Jalan Bungur Besar,61.97,2,1,15945
26306,13600002484078,4,30,Jalan Pecenongan,5.67,2,1,694
26307,13600001963026,2,50,Jalan Kyai Haji Hasyim Ashari,9.8,2,1,20274
26308,13600001963030,2,50,Jalan Kyai Haji Hasyim Ashari,7.77,2,1,20283
26309,13600003023237,2,50,Jalan Kyai Haji Hasyim Ashari,10.54,2,1,13823
26310,13600001900759,2,50,Jalan Kyai Haji Hasyim Ashari,11.21,2,1,13845
26311,13600003023235,2,50,Jalan Kyai Haji Hasyim Ashari,10.3,2,1,13798
26312,13600001071242,2,50,Jalan Kyai Haji Hasyim Ashari,93.47,2,1,21348
26313,13600001304532,5,50,Jalan Kodam Raya,67.96,2,1,3596
26314,13600001476607,2,50,Jalan Kyai Haji Hasyim Ashari,4.78,2,1,19999
26315,13600001554963,4,50,Jalan Am Sangaji,11.41,2,1,5618
26316,13600001476608,2,50,Jalan Kyai Haji Hasyim Ashari,4.67,2,1,23920
26317,13600001476610,2,50,Jalan Kyai Haji Hasyim Ashari,10.88,2,1,23908
26318,13600001249623,3,50,Jalan Cideng Timur,82.24,2,1,14625
26319,13600001963040,2,50,Jalan Kyai Haji Hasyim Ashari,11.38,2,1,21427
26320,13600001963046,2,50,Jalan Kyai Haji Hasyim Ashari,12.42,2,1,21401
26321,13600001963054,2,50,Jalan Kyai Haji Hasyim Ashari,12.42,2,1,21396
26322,13600001621341,3,50,Jalan Cideng Barat,82.73,2,1,17059
26323,13600001511110,2,50,Jalan Kyai Haji Hasyim Ashari,164.04,2,1,22980
26324,13600001571032,3,50,Jalan Cideng Timur,12.99,2,1,16343
26325,13600001511114,2,50,Jalan Kyai Haji Hasyim Ashari,10.89,2,1,25387
26326,13600001511113,2,50,Jalan Kyai Haji Hasyim Ashari,12.56,2,1,25369
26327,13600001511106,2,50,Jalan Kyai Haji Hasyim Ashari,12.04,2,1,25440
26328,13600001571033,3,50,Jalan Cideng Barat,13.59,2,1,10106
26329,13600002077665,5,50,Jalan Kodam Raya,36.57,2,1,3673
26330,13600001462369,5,50,Jalan Kepu Timur,76.31,2,1,1189
26331,13600001877184,2,80,Jalan Hayam Wuruk,40.78,2,1,27034
26332,13600001007836,2,50,Jalan Kyai Haji Hasyim Ashari,81.41,2,1,30107
26333,13600001068627,2,50,Jalan Kyai Haji Hasyim Ashari,88.62,2,1,30248
26334,13600001305037,5,50,Jalan Kepu Timur,34.03,2,1,1212
26335,13600002072446,4,50,Jalan Am Sangaji,68.29,2,1,6247
26336,13600001016127,5,50,Jalan Kepu Timur,10.68,2,1,1171
26337,13600001068617,3,50,Jalan Cideng Timur,62.12,2,1,14745
26338,13600001140676,3,50,Jalan Utan Panjang Barat,187.7,2,1,19921
26339,13600001570999,3,50,Jalan Utan Panjang Timur,10.22,2,1,19736
26340,13600002135859,2,80,Jalan Gunung Sahari,9.2,2,1,15963
26341,13600001576891,1,40,Jalan Perintis Kemerdekaan,8.35,2,1,30062
26342,13600001578827,4,80,Jalan Budi Utomo,5.37,2,1,1225
26343,13600001411303,1,50,Jalan Jenderal Ahmad Yani,19.0,2,1,21447
26344,13600002752082,0,80,Jalan Tol Insinyur Wiyoto Wiyono,18.39,2,1,52849
26345,13600002752080,0,80,Jalan Tol Insinyur Wiyoto Wiyono,18.26,2,1,52946
26346,13600001363392,3,50,Jalan Jenderal Ahmad Yani,17.53,2,1,21255
26347,13600001578829,4,50,Jalan Budi Utomo,5.17,2,1,13210
26348,13600001411300,1,40,Jalan Perintis Kemerdekaan,32.21,2,1,30426
26349,13600001010527,1,50,Jalan Gedung Kesenian,33.87,2,1,24156
26350,13600001115310,5,50,Jalan Kepu Timur,53.33,2,1,1139
26351,13600001411294,1,40,Jalan Perintis Kemerdekaan,8.49,2,1,30650
26352,13600001578822,4,50,Jalan Budi Utomo,16.24,2,1,13205
26353,13600001529168,5,50,Jalan Kodam Raya,109.09,2,1,3641
26354,13600001515521,2,80,Jalan Gunung Sahari,31.23,2,1,17773
26355,13600002380274,5,50,Jalan Kepu Timur,17.2,2,1,1190
26356,13600002585184,5,50,Jalan Kodam Raya,19.95,2,1,3775
26357,13600001067419,3,50,Jalan Cideng Timur,62.03,2,1,14630
26358,13600001529172,1,50,Jalan Jenderal Ahmad Yani,43.55,2,1,19766
26359,13600001633577,4,50,Jalan Budi Utomo,73.45,2,1,13386
26360,13600001925367,4,18,Jalan Budi Utomo,9.98,2,1,97
26361,13600002875469,5,50,Jalan Letnan Jenderal Suprapto,182.8,2,1,9522
26362,13600001305201,5,50,Jalan Kodam Raya,15.71,2,1,3707
26363,13600002574068,5,50,Jalan Kepu Timur,21.58,2,1,1185
26364,13600002752079,0,80,Jalan Tol Insinyur Wiyoto Wiyono,183.43,2,1,52549
26365,13600001305196,5,50,Jalan Kodam Raya,9.56,2,1,3714
26366,13600001908769,5,50,Jalan Letnan Jenderal Suprapto,39.01,2,1,9067
26367,13600001069812,3,50,Jalan Cideng Barat,23.5,2,1,15182
26368,13600001763428,3,50,Jalan Veteran 3,13.05,2,1,9967
26369,13600002809571,5,50,Jalan Letnan Jenderal Suprapto,71.15,2,1,9775
